ID,X,Y,Type,Demand
745,281.2,555.4,C,10
350,140.4,265,B,29
236,349,241.2,C,35
1047,80,525.6,B,16
52,405.2,314.6,C,40
60,372.2,307.4,B,34
865,164.4,442.8,C,34
748,318.6,643.8,A,44
536,154.2,334.8,B,43
578,70.4,318.2,A,12
999,156.6,483.4,C,13
3,403.6,148.2,C,46
279,256.2,218.4,B,39
842,205.2,417.8,C,15
224,325.2,196.8,A,31
95,373.6,465.8,A,37
352,120.4,189,C,34
608,349.8,419.2,B,47
683,327.8,620.2,C,41
1076,165.2,597,A,18
779,256.8,403,C,46
590,94.4,372.4,A,24
1039,96,518,C,32
809,259,628.4,B,17
867,146.6,403.4,C,23
807,259.2,621.2,A,29
209,205,160.6,C,47
637,350.8,531,A,40
405,33.4,172.6,C,47
715,280.6,427,C,24
1096,154.2,655.4,A,32
142,341.8,111.8,C,50
300,209.6,241.4,A,12
306,204.2,253.8,B,34
845,182.6,417,A,23
850,182.2,446.4,B,21
599,48,372.2,C,13
1074,149.6,567.2,C,15
266,279.2,249.2,C,25
522,187,338.4,A,35
639,351.2,546.6,C,30
31,371.2,218,A,33
906,48.2,436.4,C,43
1150,73,614,A,13
124,397.8,627.8,C,25
868,141,386.6,C,46
337,157.6,271.4,C,45
1152,73,600,B,16
550,129.2,355,A,43
592,85.4,382,C,19
928,229,535.8,C,24
426,325.6,306.6,C,39
282,248.4,196.8,B,36
950,212.2,547.4,A,11
611,350.2,442.6,C,42
388,63.2,210.2,A,37
623,326.8,450.2,A,48
73,396.2,426.6,B,49
444,302.6,330.6,B,24
1159,49.2,573.8,C,25
679,321.6,600.4,A,11
359,117,227.6,A,35
114,374,547.2,B,49
780,257.2,411.2,B,41
497,234.4,362.4,A,30
763,288,632,C,37
594,70.8,372,A,34
416,349.4,330,A,41
186,235.6,148.8,A,41
933,223.2,528,C,22
462,279.8,353.6,A,41
222,325,217.6,A,21
907,48.6,444,A,14
1168,50.6,654,C,35
450,305.4,377.6,B,13
760,311.2,632,C,15
927,235.6,652.8,C,49
977,189.2,588,B,21
482,257,361.8,A,33
308,202.8,197.6,A,24
1145,80.4,630.6,A,22
496,233.6,353.6,C,44
697,303.2,411.4,B,33
1010,156.6,528.4,A,29
878,117.8,411.6,C,11
987,187.6,582,C,35
1028,118.8,517.6,B,39
1056,72.6,533.6,C,40
873,141.6,444.8,B,17
931,222.6,507.8,C,27
921,235.4,605,B,29
241,316,274.6,C,16
994,168.4,561.6,A,38
877,118.4,403.8,C,12
1016,149.6,536,C,49
935,223.4,546,A,45
855,183.6,455.2,B,17
1172,50.6,677.2,B,18
375,70.8,235.8,B,34
311,187,211.6,B,28
613,350,457.8,B,16
78,396.6,465.2,C,21
1072,46,559,A,35
976,189,572,C,11
139,374.6,643.8,A,36
425,326,299,A,43
1021,157.6,545.6,B,40
854,190.4,455.8,B,20
853,198.4,455,B,12
48,395.2,345.6,B,23
1020,151,542.2,C,21
316,187.2,250,C,23
704,303.8,466,B,22
980,189.6,613.6,A,33
291,233.4,265.4,C,20
993,173.8,601.8,B,24
555,117.6,324.2,A,18
915,235.2,543.8,A,34
1100,132.8,690.4,A,16
1140,88.6,618.2,C,42
1173,43,677,C,26
718,280.6,450.2,B,34
794,257.8,508,C,17
358,117,219.6,A,27
758,287.8,619.4,C,30
826,234.4,443.4,A,46
559,118.2,372.2,A,47
122,397.6,612.2,C,25
159,227.6,141.8,C,21
503,210,299.8,A,27
206,305.4,156.8,A,50
1085,143,606.2,B,37
934,222.8,536,B,48
541,140.4,308.4,B,37
1090,142.8,643.6,A,47
103,397.6,546.8,B,33
605,349.6,395,A,41
986,182.8,553.6,A,12
824,234.4,427.6,B,24
1042,96.2,542,B,34
1099,132.6,668.6,C,11
1088,142.6,629.6,B,22
126,398,642.8,C,26
407,33.2,158,C,11
612,350.4,449.8,A,15
87,372.8,403.4,A,10
766,302.8,639.4,B,34
1101,119.2,573,C,27
530,163.2,315.2,A,14
212,127.6,157.6,A,32
875,141.6,443.4,A,36
68,372,370.6,C,28
1113,112.2,614,A,35
1078,165.2,630.2,A,11
691,322.6,672,A,19
995,164.2,468.2,C,35
1163,50,614.8,C,43
432,325.8,353.2,B,13
569,94.6,332.2,A,19
723,303.8,508.4,B,18
480,256.6,346,A,34
37,364,249.2,A,12
881,118.2,435.4,A,10
301,210,249.8,B,37
174,135.4,142.4,B,15
177,305.2,149.2,C,25
947,211.2,525.2,A,50
891,95,443.8,A,24
113,374.2,539.4,C,34
478,256.4,330.8,A,43
531,163.4,323.4,B,16
23,394.4,225.6,A,17
387,62.6,199,B,20
207,297.8,157.2,B,48
1006,141.4,515.6,B,30
825,234,435.2,C,36
1066,49.4,535,B,28
248,302.4,233.8,B,45
412,349.4,298.8,C,44
616,326.4,396,A,36
591,95.6,387.8,C,12
348,140.2,250.4,B,41
392,47.4,212.4,C,19
798,258,539.8,C,10
1014,164.6,536.4,B,41
1149,72.8,606.6,C,30
587,48.2,324.4,C,42
442,301.8,315,B,49
283,233,197.6,C,21
754,280.4,587.6,C,15
964,200.4,557.2,A,16
