ID,X,Y,Type,Demand
194,770.64,224.68,B,23
129,435.36,356.76,B,16
127,435.36,346.6,B,32
75,293.12,280.56,C,29
151,445.52,387.24,B,33
50,323.6,265.32,A,12
63,338.84,270.4,C,50
146,425.2,382.16,A,25
172,470.16,369.46,C,36
181,740.16,234.84,B,23
47,308.36,260.24,A,32
60,267.72,270.4,C,42
61,282.96,270.4,B,21
1,0,0,B,39
143,425.2,377.08,C,21
125,415.04,346.6,C,46
52,303.28,265.32,B,11
86,247.4,290.72,A,21
115,354.08,331.36,B,29
69,247.4,275.48,A,21
82,288.04,285.64,A,32
71,247.4,280.56,B,30
43,257.56,260.24,C,11
105,349,305.96,A,45
120,384.56,331.36,A,45
57,247.4,265.32,C,33
134,420.12,366.92,C,41
113,359.16,311.04,C,48
131,420.12,356.76,B,28
73,267.72,280.56,A,22
62,293.12,270.4,A,32
186,805.66,262.06,A,16
27,308.36,234.84,A,13
89,293.12,290.72,C,34
145,430.28,382.16,C,43
133,425.2,361.84,B,46
191,745.66,277.3,C,50
175,745.14,217.3,C,26
177,745.24,229.76,C,15
193,805.66,277.3,A,31
130,425.2,356.76,B,46
9,186.44,270.4,B,25
17,262.64,199.28,A,11
55,267.72,265.32,C,39
156,369.32,397.4,A,39
128,447.3,346.6,C,34
138,399.8,369.46,B,37
158,379.48,397.4,A,37
48,328.68,260.24,A,38
101,318.52,300.88,B,44
184,760.48,239.92,B,32
185,770.64,239.92,B,13
123,376.94,346.6,C,20
117,364.24,331.36,A,27
10,191.52,270.4,A,43
114,354.08,311.04,C,43
142,420.12,377.08,B,39
132,420.12,361.84,A,18
81,308.36,285.64,C,10
183,740.16,239.92,A,10
118,374.4,331.36,A,49
107,369.32,305.96,B,37
195,790.42,217.3,A,27
163,450.6,397.4,C,23
178,760.48,229.76,B,12
168,430.28,280.56,A,33
176,730.42,217.3,A,44
24,313.44,224.68,B,35
33,298.2,245,B,21
192,790.42,277.3,B,32
112,364.24,311.04,A,37
100,252.48,295.8,C,48
159,389.64,397.4,A,27
140,420.12,372,A,26
35,318.52,250.08,B,23
44,267.72,260.24,B,24
111,374.4,311.04,B,26
126,422.66,346.6,A,47
4,140.72,199.28,A,39
108,389.64,305.96,C,18
162,425.2,397.4,B,43
110,379.48,311.04,A,12
179,770.64,229.76,A,13
104,338.84,305.96,A,34
119,379.48,331.36,C,50
30,293.12,239.92,B,19
19,303.28,199.28,B,17
116,359.16,331.36,C,41
38,277.88,250.08,A,14
148,420.12,387.24,B,38
64,323.6,275.48,B,39
2,110.24,199.28,A,45
144,435.36,377.08,A,46
92,338.84,290.72,C,32
170,435.36,341.52,A,26
106,364.24,305.96,B,48
95,313.44,295.8,B,11
18,293.12,199.28,B,49
34,303.28,245,A,20
46,298.2,260.24,B,42
139,376.94,369.46,A,15
121,361.7,338.98,A,25
54,282.96,265.32,B,39
13,206.76,270.4,A,45
80,333.76,285.64,B,15
83,282.96,285.64,C,22
88,282.96,290.72,B,46
25,318.52,229.76,C,43
72,262.64,280.56,A,36
67,267.72,275.48,C,29
141,425.2,372,B,21
16,257.56,199.28,A,49
173,730.42,202.06,B,48
97,288.04,295.8,A,36
198,790.42,202.06,C,46
180,760.48,234.84,C,16
155,364.24,397.4,A,46
182,721.12,239.92,C,22
98,282.96,295.8,A,31
26,313.44,234.84,A,10
74,282.96,280.56,A,15
28,298.2,234.84,A,49
56,262.64,265.32,C,45
102,323.6,300.88,C,44
84,267.72,285.64,A,48
91,333.76,290.72,C,48
45,282.96,260.24,C,40
167,404.88,280.56,B,32
12,201.68,270.4,C,30
135,425.2,366.92,B,46
59,262.64,270.4,C,47
164,460.76,397.4,C,20
14,262.64,224.68,A,24
5,140.72,209.44,A,15
66,282.96,275.48,A,27
21,318.52,219.6,B,34
197,805.66,202.06,A,12
154,359.16,397.4,B,39
94,318.52,295.8,C,33
87,267.72,290.72,B,42
53,293.12,265.32,B,18
58,247.4,270.4,B,12
152,425.2,392.32,B,23
99,267.72,295.8,A,25
39,308.36,255.16,A,46
29,288.04,234.84,B,36
22,303.28,219.6,B,37
196,805.66,217.3,B,30
42,252.48,260.24,A,26
153,420.12,392.32,B,28
122,351.54,338.98,A,28
174,745.14,202.06,A,39
23,293.12,219.6,C,24
190,730.42,277.3,C,33
32,288.04,245,B,15
37,288.04,250.08,B,24
150,435.36,387.24,B,34
85,252.48,285.64,C,50
76,313.44,280.56,C,24
157,374.4,397.4,A,10
36,293.12,250.08,C,16
41,232.16,245,B,48
124,399.8,346.6,A,42
6,125.48,209.44,C,44
189,730.42,262.06,B,49
15,257.56,219.6,B,28
3,125.48,199.28,A,21
65,303.28,275.48,B,44
109,384.56,311.04,B,36
49,333.76,265.32,B,46
31,282.96,245,A,26
96,303.28,295.8,B,28
77,318.52,280.56,C,42
169,415.04,341.52,A,26
161,420.12,397.4,A,14
51,313.44,265.32,C,22
68,262.64,275.48,C,32
103,333.76,305.96,B,25
7,110.24,209.44,B,15
160,411.24,397.4,C,27
11,196.6,270.4,C,30
136,430.28,366.92,C,21
171,470.16,346.6,B,31
70,271.54,278.02,A,40
166,481.08,397.4,A,25
165,476,397.4,C,24
78,323.6,280.56,B,41
8,176.28,270.4,B,34
188,745.66,262.06,A,45
90,298.2,290.72,B,46
137,447.3,369.46,C,37
93,323.6,295.8,A,39
40,232.16,224.68,A,13
147,420.12,382.16,C,30
187,790.42,262.06,C,35
149,425.2,387.24,C,44
20,318.52,199.28,C,37
79,338.84,285.64,B,37
